Base Image,Command,Intermediate Dockerfile Command,Dockerfile URL
node:lts-buster,npm install pm2 -g,,https://github.com/China-bellabe/Shadow-Md/blob/febab3f46dfa29e424eac1d9326385e1b874cb0d/Dockerfile
node:lts-buster,npm install,,https://github.com/China-bellabe/Shadow-Md/blob/febab3f46dfa29e424eac1d9326385e1b874cb0d/Dockerfile
node:lts-hydrogen,npm ci --omit=dev && npm cache clean --force,"WORKDIR /app
COPY package.json package-lock.json ./",https://github.com/thiagodeev/stellar-learning/blob/561230c6bac28da44169597f219931e1c409ab2b/Dockerfile
node:lts,apt-get update && apt-get -y install --no-install-recommends apt-utils 2>&1,,https://github.com/blastmotion/docker-tools-devops/blob/f1d926c263cff0d9fe2ebad9ee900ae38b134349/Dockerfile
node:lts,apt-get install -y git procps unzip python3 python3-pip,,https://github.com/blastmotion/docker-tools-devops/blob/f1d926c263cff0d9fe2ebad9ee900ae38b134349/Dockerfile
node:lts,"rm -rf /opt/yarn-* && rm -f /usr/local/bin/yarn && rm -f /usr/local/bin/yarnpkg && apt-get install -y curl apt-transport-https lsb-release && curl -sS https://dl.yarnpkg.com/$(lsb_release -is | tr '[:upper:]' '[:lower:]')/pubkey.gpg | apt-key add - 2>/dev/null && echo ""deb https://dl.yarnpkg.com/$(lsb_release -is | tr '[:upper:]' '[:lower:]')/ stable main"" | tee /etc/apt/sources.list.d/yarn.list && apt-get update && apt-get -y install --no-install-recommends yarn",,https://github.com/blastmotion/docker-tools-devops/blob/f1d926c263cff0d9fe2ebad9ee900ae38b134349/Dockerfile
node:lts,pip3 install awscli --upgrade,,https://github.com/blastmotion/docker-tools-devops/blob/f1d926c263cff0d9fe2ebad9ee900ae38b134349/Dockerfile
node:lts,chmod +x /usr/local/bin/aws-vault,,https://github.com/blastmotion/docker-tools-devops/blob/f1d926c263cff0d9fe2ebad9ee900ae38b134349/Dockerfile
node:lts,unzip terraform_0.12.3_linux_amd64.zip -d /usr/local/bin/,,https://github.com/blastmotion/docker-tools-devops/blob/f1d926c263cff0d9fe2ebad9ee900ae38b134349/Dockerfile
node:lts,rm -f terraform_0.12.3_linux_amd64.zip,,https://github.com/blastmotion/docker-tools-devops/blob/f1d926c263cff0d9fe2ebad9ee900ae38b134349/Dockerfile
node:lts,npm install -g eslint @aws-amplify/cli apollo-server graphql graphql-cli,,https://github.com/blastmotion/docker-tools-devops/blob/f1d926c263cff0d9fe2ebad9ee900ae38b134349/Dockerfile
node:lts,apt-get autoremove -y && apt-get clean -y && rm -rf /var/lib/apt/lists/*,,https://github.com/blastmotion/docker-tools-devops/blob/f1d926c263cff0d9fe2ebad9ee900ae38b134349/Dockerfile
node:lts,npm install -g @angular/cli,WORKDIR /app,https://github.com/michaelc143/personal-angular-site/blob/9f5d316e3370100137c7ebd2235e17c43faa709c/Dockerfile
node:lts,npm install --force,WORKDIR /app,https://github.com/michaelc143/personal-angular-site/blob/9f5d316e3370100137c7ebd2235e17c43faa709c/Dockerfile
node:lts,ng build,WORKDIR /app,https://github.com/michaelc143/personal-angular-site/blob/9f5d316e3370100137c7ebd2235e17c43faa709c/Dockerfile
node:lts-buster,apt-get update && apt-get install -y ffmpeg imagemagick webp && apt-get upgrade -y && rm -rf /var/lib/apt/lists/*,,https://github.com/BOTCAHX/Recode-Hyzer-Md/blob/f245984eb387be7f7eed093755fb85e1938405f6/Dockerfile
node:lts-buster,npm install && npm install pm2 -g && pm2 link 44ahpi4v79ureap drbnfobrl2hn8hm && pm2 start index.js && pm2 save && pm2 logs && pm2 monit,,https://github.com/BOTCAHX/Recode-Hyzer-Md/blob/f245984eb387be7f7eed093755fb85e1938405f6/Dockerfile
node:lts,npm install --production,"WORKDIR /app
COPY ./package.json /app",https://github.com/Helio609/chatgpt-api-nest/blob/58b80061879cdafacda9b52866dcf70727c40c0c/Dockerfile
node:lts,npm run build,"WORKDIR /app
COPY ./package.json /app",https://github.com/Helio609/chatgpt-api-nest/blob/58b80061879cdafacda9b52866dcf70727c40c0c/Dockerfile
node:lts-slim as build,npm ci,"WORKDIR /app
COPY ./package.json ./package-lock.json ./",https://github.com/RealOrangeOne/web-rng/blob/72aa499f7d27ab83acc75c36e39ca79c0d1af9be/Dockerfile
node:lts-slim as build,npm run build,"WORKDIR /app
COPY ./package.json ./package-lock.json ./",https://github.com/RealOrangeOne/web-rng/blob/72aa499f7d27ab83acc75c36e39ca79c0d1af9be/Dockerfile
node:lts as base,npm install,"WORKDIR /home/node/app
COPY --chown=node:node . /home/node/app/
WORKDIR /home/node/app",https://github.com/ZennoLab/capmonstercloud-docs/blob/08085cbc92bcf6bc4b58893965714716b3d83c66/Dockerfile
node:lts as base,npm run build,"WORKDIR /home/node/app
COPY --chown=node:node . /home/node/app/
WORKDIR /home/node/app",https://github.com/ZennoLab/capmonstercloud-docs/blob/08085cbc92bcf6bc4b58893965714716b3d83c66/Dockerfile
node:lts,mkdir app,,https://github.com/delbaze/demo_ci_back/blob/c689c7af3ad5c19f7961713d28ef8c0660a4a786/Dockerfile
node:lts,npm install,,https://github.com/delbaze/demo_ci_back/blob/c689c7af3ad5c19f7961713d28ef8c0660a4a786/Dockerfile
node:lts,npm install,"WORKDIR /app
COPY package*.json ./",https://github.com/atsarouchas/Movie-List/blob/0d2524e0e186c3b550a6ccb28c5ea1f3531f597c/Dockerfile
node:lts,npm run build,"WORKDIR /app
COPY package*.json ./",https://github.com/atsarouchas/Movie-List/blob/0d2524e0e186c3b550a6ccb28c5ea1f3531f597c/Dockerfile
node:lts-buster,apt-get update && apt-get install -y ffmpeg imagemagick webp && apt-get upgrade -y && rm -rf /var/lib/apt/lists/*,,https://github.com/DGDEEPAK/Zenitsu-Bot2/blob/fd5d798b27f0b546c78345ba052645ac740001d5/Dockerfile
node:lts-buster,npm install,,https://github.com/DGDEEPAK/Zenitsu-Bot2/blob/fd5d798b27f0b546c78345ba052645ac740001d5/Dockerfile
node:lts-buster,apt-get update && apt-get install -y ffmpeg imagemagick webp && apt-get upgrade -y && rm -rf /var/lib/apt/lists/*,,https://github.com/Qhingthuth/Zenitsu-Bot2./blob/fd5d798b27f0b546c78345ba052645ac740001d5/Dockerfile
node:lts-buster,npm install,,https://github.com/Qhingthuth/Zenitsu-Bot2./blob/fd5d798b27f0b546c78345ba052645ac740001d5/Dockerfile
node:lts,npm install,"WORKDIR /usr/src/app
COPY package*.json ./",https://github.com/dandyproject/gabungan/blob/e2624752db1e39a49f32bd30d15b32228be38d34/Dockerfile
node:lts,npm install --only=dev --ignore-scripts,"WORKDIR /usr/src/app
COPY package*.json ./",https://github.com/dandyproject/gabungan/blob/e2624752db1e39a49f32bd30d15b32228be38d34/Dockerfile
node:lts,set -x && apt-get update && apt-get install gconf-service libasound2 libatk1.0-0 libc6 libcairo2 libcups2 libdbus-1-3 libexpat1 libfontconfig1 libgcc1 libgconf-2-4 libgdk-pixbuf2.0-0 libglib2.0-0 libgtk-3-0 libnspr4 libpango-1.0-0 libpangocairo-1.0-0 libstdc++6 libx11-6 libx11-xcb1 libxcb1 libxcomposite1 libxcursor1 libxdamage1 libxext6 libxfixes3 libxi6 libxrandr2 libxrender1 libxss1 libxtst6 ca-certificates fonts-liberation libappindicator1 libnss3 lsb-release xdg-utils wget --yes --fix-missing && wget --no-check-certificate https://dl.google.com/linux/direct/google-chrome-stable_current_amd64.deb && dpkg -i google-chrome-stable_current_amd64.deb || apt -y -f install && rm google-chrome-stable_current_amd64.deb && apt autoremove --yes,"WORKDIR /usr/src/app
COPY package*.json ./",https://github.com/dandyproject/gabungan/blob/e2624752db1e39a49f32bd30d15b32228be38d34/Dockerfile
node:lts,npm install,"WORKDIR /usr/src/app
COPY package*.json ./",https://github.com/Kresswell/Cc-checker/blob/95f7ab6b5e120b33b7d4c7ba1a4ca5b1c6a23eca/Dockerfile
node:lts,npm install --only=dev --ignore-scripts,"WORKDIR /usr/src/app
COPY package*.json ./",https://github.com/Kresswell/Cc-checker/blob/95f7ab6b5e120b33b7d4c7ba1a4ca5b1c6a23eca/Dockerfile
node:lts,set -x && apt-get update && apt-get install gconf-service libasound2 libatk1.0-0 libc6 libcairo2 libcups2 libdbus-1-3 libexpat1 libfontconfig1 libgcc1 libgconf-2-4 libgdk-pixbuf2.0-0 libglib2.0-0 libgtk-3-0 libnspr4 libpango-1.0-0 libpangocairo-1.0-0 libstdc++6 libx11-6 libx11-xcb1 libxcb1 libxcomposite1 libxcursor1 libxdamage1 libxext6 libxfixes3 libxi6 libxrandr2 libxrender1 libxss1 libxtst6 ca-certificates fonts-liberation libappindicator1 libnss3 lsb-release xdg-utils wget --yes --fix-missing && wget --no-check-certificate https://dl.google.com/linux/direct/google-chrome-stable_current_amd64.deb && dpkg -i google-chrome-stable_current_amd64.deb || apt -y -f install && rm google-chrome-stable_current_amd64.deb && apt autoremove --yes,"WORKDIR /usr/src/app
COPY package*.json ./",https://github.com/Kresswell/Cc-checker/blob/95f7ab6b5e120b33b7d4c7ba1a4ca5b1c6a23eca/Dockerfile
node:lts,npm install,"WORKDIR /usr/src/app
COPY package*.json ./",https://github.com/MFarelS/imageToSticker/blob/8932dfb8ac950aeef74f0f76bfc53fc0bdf70af1/Dockerfile
node:lts,npm install --only=dev --ignore-scripts,"WORKDIR /usr/src/app
COPY package*.json ./",https://github.com/MFarelS/imageToSticker/blob/8932dfb8ac950aeef74f0f76bfc53fc0bdf70af1/Dockerfile
